ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Yakan,1.339368742468156,0.09689256487191886,184,134.53727329157286
Sama /Bangingi / Badajo/ Laut/ Samal,1.4514110052455853,0.1487438604611069,324,191.70522936561983
Blaan,1.5865215811137106,0.16044925381565597,189,131.03527100574263
Subanen/Subanon,1.679918926193526,0.14352153776606033,207,164.42703812381384
Maguindanao,1.7344943922876306,0.08397201116519358,620,449.68799152951993
Manobo,1.8996857825247024,0.17525959607862168,216,100.18916746632762
Tausog,1.9810492127671422,0.16976885277462925,915,533.2297133398381
Maranao,2.03719674131803,0.15702335022361805,770,460.8699292195416
Mandaya,2.360276225370654,0.22721401779008069,143,59.13765537894066
Bantoanon,2.651833146293519,0.14320865576090988,176,166.1458715498782
Tuwali,2.727945821393352,0.27841959064631894,193,106.1678029613686
Kalinga,2.7292190670514147,0.228581594231777,178,42.58804401160876
Hiligaynon/Ilonggo,2.8701735977438854,0.07254793390694557,2098,1265.2037611274159
Cebuano,2.875222078027302,0.05619589628868854,6067,2792.3637646492084
Surigaonon,2.9158557122813784,0.1530427311541404,342,154.20454729666653
Boholano,2.9176025349688164,0.1263132161955217,405,257.8357019679033
Ifugao,2.9416636192786783,0.2262524215772536,183,101.69617146228292
Waray,2.9572479044313407,0.08311863252089252,1409,623.1699863360195
Akeanon,2.9763451175572055,0.19798249592532713,234,105.89138460545057
Bikolano,3.0050561482146048,0.08170815160501169,1755,1001.4365820425567
Ilokano,3.377492951236255,0.053436549576313025,2650,1204.9146247707936
Zambageño - Chavacano,3.382338110392074,0.1158663428778907,164,86.2559507772205
Pangasinan/ Paggalato,3.4921508508385752,0.14988419283951568,276,218.81074386289075
Ivatan,3.5005517709071854,0.32573661208850774,192,50.45826030949242
Kankanaey,3.532983643728656,0.1382198094102294,288,185.3987670225074
Tagalog,3.7641075875078087,0.04439671284084096,5108,2789.2616543442996
Kapampangan,4.068497832082596,0.08809047360995192,627,451.46491480664656
