ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Maasai,2.156011882114991,0.1313448655423181,699,565.1875253928603
Mijikenda/Swahili,2.583672107173135,0.09350015368552496,1613,1248.8415370493715
Kalenjin,2.7565585278068307,0.05728555316921003,4976,3247.7788235340176
Somali,2.871313965003505,0.18138865106190966,2368,579.5833579354353
Meru,3.1493733240317257,0.09544749775648967,1479,825.0050469429428
Luhya,3.1903825201611347,0.048249051932003365,4145,2468.973288662463
Kisii,3.2157037908476016,0.07196622710384079,1793,1068.8955476859078
Kamba,3.3323731776038596,0.06772524889155442,2729,1551.5259300731932
Luo,3.340927228998051,0.0979603036875937,3241,1701.4381612460963
Taita/Taveta,3.4850780529588494,0.09639970839162497,386,285.232826095014
Embu,3.551551701950875,0.13503683290011229,465,225.37281844255048
Kikuyu,4.0975683027400125,0.03493349645788612,4435,2403.3219518816495
